C:\Users\UMI\Desktop\disrl\myenv\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 1: Reward: 18.0, Loss: None
Episode 106: Reward: 12.0, Loss: 0.0023045605048537254
Episode 107: Reward: 14.0, Loss: 0.0018468019552528858
Episode 108: Reward: 11.0, Loss: 0.001274537411518395
Episode 109: Reward: 15.0, Loss: 0.0023989761248230934
Episode 110: Reward: 12.0, Loss: 0.003968646749854088
Episode 111: Reward: 11.0, Loss: 0.004989266861230135
Episode 112: Reward: 12.0, Loss: 0.0020230545196682215
Episode 113: Reward: 10.0, Loss: 0.004707276821136475
Episode 114: Reward: 13.0, Loss: 0.001310735009610653
Episode 115: Reward: 10.0, Loss: 0.0012815260561183095
Episode 116: Reward: 9.0, Loss: 0.0011646891944110394
Episode 117: Reward: 10.0, Loss: 0.001745080342516303
Episode 118: Reward: 11.0, Loss: 0.0010300851427018642
Episode 119: Reward: 10.0, Loss: 0.0016686690505594015
Episode 120: Reward: 10.0, Loss: 0.0009111789404414594
Episode 121: Reward: 13.0, Loss: 0.002578049898147583
Episode 122: Reward: 13.0, Loss: 0.0014795204624533653
Episode 123: Reward: 11.0, Loss: 0.0008648521616123617
Episode 124: Reward: 10.0, Loss: 0.0015654455637559295
Episode 125: Reward: 11.0, Loss: 0.0019340035505592823
Episode 126: Reward: 13.0, Loss: 0.0010569981532171369
Episode 127: Reward: 10.0, Loss: 0.0020376620814204216
Episode 128: Reward: 12.0, Loss: 0.0012110352981835604
Episode 129: Reward: 12.0, Loss: 0.0010110106086358428
Episode 130: Reward: 13.0, Loss: 0.0005558273987844586
Episode 131: Reward: 14.0, Loss: 0.0008438650984317064
Episode 132: Reward: 13.0, Loss: 0.0006760996766388416
Episode 133: Reward: 13.0, Loss: 0.0009367584134452045
Episode 134: Reward: 11.0, Loss: 0.0010717810364440084
Episode 135: Reward: 11.0, Loss: 0.000819777196738869
Episode 136: Reward: 15.0, Loss: 0.0008007899159565568
Episode 137: Reward: 15.0, Loss: 0.0009173435973934829
Episode 138: Reward: 11.0, Loss: 0.0007131942547857761
Episode 139: Reward: 11.0, Loss: 0.0005399314686655998
Episode 140: Reward: 12.0, Loss: 0.0011244690977036953
Episode 141: Reward: 11.0, Loss: 0.0005953222280368209
Episode 142: Reward: 11.0, Loss: 0.0004371633112896234
Episode 143: Reward: 13.0, Loss: 0.0007893419824540615
Episode 144: Reward: 10.0, Loss: 0.0005634701810777187
Episode 145: Reward: 12.0, Loss: 0.0024688318371772766
Episode 146: Reward: 11.0, Loss: 0.000706619000993669
Episode 147: Reward: 10.0, Loss: 0.000697129697073251
Episode 148: Reward: 13.0, Loss: 0.000696695176884532
Episode 149: Reward: 14.0, Loss: 0.0011694657150655985
Episode 150: Reward: 14.0, Loss: 0.0003686326672323048
Episode 151: Reward: 17.0, Loss: 0.0007119965739548206
Episode 152: Reward: 10.0, Loss: 0.0006862620357424021
Episode 153: Reward: 11.0, Loss: 0.000673176720738411
Episode 154: Reward: 14.0, Loss: 0.0004990455927327275
Episode 155: Reward: 11.0, Loss: 0.0008563150768168271
Episode 156: Reward: 12.0, Loss: 0.00048346820403821766
Episode 157: Reward: 14.0, Loss: 0.00047816126607358456
Episode 158: Reward: 14.0, Loss: 0.0005266371881589293
Episode 159: Reward: 11.0, Loss: 0.0004630062903743237
Episode 160: Reward: 11.0, Loss: 0.00035302957985550165
Episode 161: Reward: 12.0, Loss: 0.0015555755235254765
Episode 162: Reward: 12.0, Loss: 0.0002492402563802898
Episode 163: Reward: 11.0, Loss: 0.0004532296734396368
Episode 164: Reward: 12.0, Loss: 0.00043639744399115443
Episode 165: Reward: 13.0, Loss: 0.000379912176867947
Episode 166: Reward: 11.0, Loss: 0.00040377239929512143
Episode 167: Reward: 15.0, Loss: 0.0005376033950597048
Episode 168: Reward: 12.0, Loss: 0.0005300395423546433
Episode 169: Reward: 15.0, Loss: 0.00025014718994498253
Episode 170: Reward: 10.0, Loss: 0.00022496073506772518
