C:\Users\UMI\Desktop\disrl\myenv\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 1: Reward: 18.0, Loss: None
Episode 103: Reward: 64.0, Loss: 0.2948095202445984
Episode 104: Reward: 17.0, Loss: 0.33528873324394226
Episode 105: Reward: 19.0, Loss: 0.34792399406433105
Episode 106: Reward: 18.0, Loss: 0.2866043448448181
Episode 107: Reward: 14.0, Loss: 0.3059864938259125
Episode 108: Reward: 34.0, Loss: 0.4086035490036011
Episode 109: Reward: 18.0, Loss: 0.3762533366680145
Episode 110: Reward: 18.0, Loss: 0.28546470403671265
Episode 111: Reward: 10.0, Loss: 0.2974076569080353
Episode 112: Reward: 26.0, Loss: 0.3432071805000305
Episode 113: Reward: 25.0, Loss: 0.25931665301322937
Episode 114: Reward: 30.0, Loss: 0.288337379693985
Episode 115: Reward: 19.0, Loss: 0.4218590259552002
Episode 116: Reward: 17.0, Loss: 0.3187095522880554
Episode 117: Reward: 13.0, Loss: 0.45903661847114563
Episode 118: Reward: 11.0, Loss: 0.37504780292510986
Episode 119: Reward: 33.0, Loss: 0.27652090787887573
Episode 120: Reward: 33.0, Loss: 0.36927253007888794
Episode 121: Reward: 25.0, Loss: 0.2899686396121979
Episode 122: Reward: 33.0, Loss: 0.2425452321767807
Episode 123: Reward: 23.0, Loss: 0.2524857521057129
Episode 124: Reward: 36.0, Loss: 0.28779223561286926
Episode 125: Reward: 17.0, Loss: 0.28653228282928467
Episode 126: Reward: 17.0, Loss: 0.21375563740730286
Episode 127: Reward: 13.0, Loss: 0.23200225830078125
Episode 128: Reward: 22.0, Loss: 0.28206783533096313
Episode 129: Reward: 12.0, Loss: 0.24486079812049866
Episode 130: Reward: 15.0, Loss: 0.2881040573120117
Episode 131: Reward: 16.0, Loss: 0.3491571545600891
Episode 132: Reward: 22.0, Loss: 0.23439617455005646
Episode 133: Reward: 32.0, Loss: 0.5097765326499939
Episode 134: Reward: 23.0, Loss: 0.4971708059310913
Episode 135: Reward: 21.0, Loss: 0.3254081904888153
Episode 136: Reward: 14.0, Loss: 0.3295918405056
Episode 137: Reward: 18.0, Loss: 0.29312169551849365
Episode 138: Reward: 10.0, Loss: 0.3176628351211548
Episode 139: Reward: 17.0, Loss: 0.4259212017059326
Episode 140: Reward: 59.0, Loss: 0.39686936140060425
Episode 141: Reward: 16.0, Loss: 0.3277038633823395
Episode 142: Reward: 38.0, Loss: 0.30976933240890503
Episode 143: Reward: 16.0, Loss: 0.49694904685020447
Episode 144: Reward: 23.0, Loss: 0.3749982714653015
Episode 145: Reward: 22.0, Loss: 0.33504945039749146
Episode 146: Reward: 29.0, Loss: 0.34924525022506714
Episode 147: Reward: 10.0, Loss: 0.43483060598373413
Episode 148: Reward: 18.0, Loss: 0.22334527969360352
Episode 149: Reward: 22.0, Loss: 0.44265884160995483
Episode 150: Reward: 19.0, Loss: 0.2148163914680481
Episode 151: Reward: 24.0, Loss: 0.3218912184238434
Episode 152: Reward: 14.0, Loss: 0.298747718334198
Episode 153: Reward: 12.0, Loss: 0.22404223680496216
Episode 154: Reward: 40.0, Loss: 0.20639629662036896
Episode 155: Reward: 13.0, Loss: 0.3855212926864624
Episode 156: Reward: 16.0, Loss: 0.30755987763404846
Episode 157: Reward: 18.0, Loss: 0.4665736258029938
Episode 158: Reward: 10.0, Loss: 0.34972092509269714
Episode 159: Reward: 29.0, Loss: 0.2795197367668152
Episode 160: Reward: 20.0, Loss: 0.2942774295806885
Episode 161: Reward: 32.0, Loss: 0.28449195623397827
Episode 162: Reward: 9.0, Loss: 0.3774679899215698
Episode 163: Reward: 12.0, Loss: 0.2744511663913727
Episode 164: Reward: 15.0, Loss: 0.4247172474861145
Episode 165: Reward: 16.0, Loss: 0.2134372889995575
Episode 166: Reward: 19.0, Loss: 0.3393680453300476
Episode 167: Reward: 21.0, Loss: 0.3634694218635559
Episode 168: Reward: 13.0, Loss: 0.2854570746421814
Episode 169: Reward: 14.0, Loss: 0.3214293420314789
Episode 170: Reward: 13.0, Loss: 0.3000625967979431
Episode 171: Reward: 22.0, Loss: 0.26244056224823
Episode 172: Reward: 19.0, Loss: 0.27528780698776245
Episode 173: Reward: 54.0, Loss: 0.15951761603355408
Episode 174: Reward: 33.0, Loss: 0.42374226450920105
Episode 175: Reward: 24.0, Loss: 0.267385870218277
Episode 176: Reward: 15.0, Loss: 0.2937113642692566
Episode 177: Reward: 13.0, Loss: 0.468793123960495
Episode 178: Reward: 28.0, Loss: 0.31429582834243774
Episode 179: Reward: 17.0, Loss: 0.37533462047576904
Episode 180: Reward: 13.0, Loss: 0.30468320846557617
Episode 181: Reward: 35.0, Loss: 0.2114110291004181
Episode 182: Reward: 25.0, Loss: 0.34351110458374023
Episode 183: Reward: 13.0, Loss: 0.3980156481266022
Episode 184: Reward: 13.0, Loss: 0.34869080781936646
Episode 185: Reward: 12.0, Loss: 0.4766700267791748
Episode 186: Reward: 21.0, Loss: 0.25611966848373413
Episode 187: Reward: 19.0, Loss: 0.30724984407424927
Episode 188: Reward: 18.0, Loss: 0.20887470245361328
Episode 189: Reward: 14.0, Loss: 0.276009202003479
Episode 190: Reward: 30.0, Loss: 0.29463768005371094
Episode 191: Reward: 44.0, Loss: 0.284214586019516
Episode 192: Reward: 9.0, Loss: 0.22002947330474854
Episode 193: Reward: 13.0, Loss: 0.3313843607902527
Episode 194: Reward: 12.0, Loss: 0.24519109725952148
Episode 195: Reward: 33.0, Loss: 0.3491414785385132
Episode 196: Reward: 28.0, Loss: 0.26841288805007935
Episode 197: Reward: 32.0, Loss: 0.2563548684120178
Episode 198: Reward: 56.0, Loss: 0.22486913204193115
Episode 199: Reward: 31.0, Loss: 0.2739516496658325
Episode 200: Reward: 10.0, Loss: 0.2771508991718292
Episode 201: Reward: 14.0, Loss: 0.23102128505706787
Episode 202: Reward: 12.0, Loss: 0.31826335191726685
Episode 203: Reward: 35.0, Loss: 0.34198540449142456
Episode 204: Reward: 13.0, Loss: 0.1748453974723816
