C:\Users\UMI\Desktop\disrl\myenv\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 1: Reward: 13.0, Loss: None
Episode 107: Reward: 13.0, Loss: 0.0014933811035007238
Episode 108: Reward: 9.0, Loss: 0.0017643163446336985
Episode 109: Reward: 11.0, Loss: 0.001135446596890688
Episode 110: Reward: 9.0, Loss: 0.001229430316016078
Episode 111: Reward: 10.0, Loss: 0.0017760960618034005
Episode 112: Reward: 11.0, Loss: 0.0020618250127881765
Episode 113: Reward: 10.0, Loss: 0.0018809973262250423
Episode 114: Reward: 9.0, Loss: 0.0021065128967165947
Episode 115: Reward: 9.0, Loss: 0.0010996158234775066
Episode 116: Reward: 12.0, Loss: 0.0015499413711950183
Episode 117: Reward: 9.0, Loss: 0.0009865546599030495
Episode 118: Reward: 10.0, Loss: 0.00145113212056458
Episode 119: Reward: 11.0, Loss: 0.0016993388999253511
Episode 120: Reward: 8.0, Loss: 0.0015709276776760817
Episode 121: Reward: 9.0, Loss: 0.0013558368664234877
Episode 122: Reward: 9.0, Loss: 0.0008959310362115502
Episode 123: Reward: 10.0, Loss: 0.0010759439319372177
Episode 124: Reward: 9.0, Loss: 0.0011119089322164655
Episode 125: Reward: 10.0, Loss: 0.00114787882193923
Episode 126: Reward: 10.0, Loss: 0.0011160626308992505
Episode 127: Reward: 9.0, Loss: 0.0013074047164991498
Episode 128: Reward: 9.0, Loss: 0.0009007432963699102
Episode 129: Reward: 8.0, Loss: 0.0011369732674211264
Episode 130: Reward: 9.0, Loss: 0.0011843282263725996
Episode 131: Reward: 9.0, Loss: 0.0009558246238157153
Episode 132: Reward: 16.0, Loss: 0.0009373084176331758
Episode 133: Reward: 10.0, Loss: 0.000886940979398787
Episode 134: Reward: 11.0, Loss: 0.0008855251362547278
Episode 135: Reward: 10.0, Loss: 0.0012430355418473482
Episode 136: Reward: 11.0, Loss: 0.0012752896873280406
Episode 137: Reward: 9.0, Loss: 0.0011255954159423709
Episode 138: Reward: 11.0, Loss: 0.0008923790301196277
Episode 139: Reward: 9.0, Loss: 0.001014895737171173
Episode 140: Reward: 10.0, Loss: 0.0009082544129341841
Episode 141: Reward: 12.0, Loss: 0.00089693145127967
Episode 142: Reward: 10.0, Loss: 0.0007377425208687782
Episode 143: Reward: 9.0, Loss: 0.0008435051422566175
Episode 144: Reward: 11.0, Loss: 0.0008405249682255089
